ticker,name,close,change,market,date
00911,兆豐洲際半導體,51.75,-1.0,TWSE,2026-09-11
00912,中信臺灣智慧50,34.96,-0.49,TWSE,2026-09-11
00913,兆豐台灣晶圓製造,48.51,-1.16,TWSE,2026-09-11
00915,凱基優選高股息30,32.92,0.1,TWSE,2026-09-11
00916,國泰全球品牌50,26.61,0.07,TWSE,2026-09-11
00917,中信特選金融,23.65,-0.03,TWSE,2026-09-11
00918,大華優利高填息30,35.34,-0.04,TWSE,2026-09-11
00919,群益台灣精選高息,32.48,-0.07,TWSE,2026-09-11
00920,富邦ESG綠色電力,24.32,-0.38,TWSE,2026-09-11
00921,兆豐龍頭等權重,24.34,-0.21,TWSE,2026-09-11
00922,國泰台灣領袖50,41.83,-0.53,TWSE,2026-09-11
00923,群益台ESG低碳50,39.85,-0.53,TWSE,2026-09-11
00924,復華S&P500成長,32.54,-0.2,TWSE,2026-09-11
00926,凱基全球菁英55,26.03,0.0,TWSE,2026-09-11
00927,群益半導體收益,37.07,-0.65,TWSE,2026-09-11
00929,復華台灣科技優息,28.62,-0.38,TWSE,2026-09-11
00930,永豐ESG低碳高息,23.91,-0.21,TWSE,2026-09-11
00932,兆豐永續高息等權,17.2,-0.06,TWSE,2026-09-11
00934,中信成長高股息,29.9,-0.41,TWSE,2026-09-11
00935,野村臺灣新科技50,58.55,-1.15,TWSE,2026-09-11
00936,台新永續高息中小,21.28,-0.1,TWSE,2026-09-11
00938,凱基優選30,26.51,0.04,TWSE,2026-09-11
00939,統一台灣高息動能,23.78,0.04,TWSE,2026-09-11
00940,元大台灣價值高息,12.79,-0.06,TWSE,2026-09-11
00941,中信上游半導體,24.64,-0.42,TWSE,2026-09-11
00943,兆豐電子高息等權,20.84,-0.07,TWSE,2026-09-11
00944,野村趨勢動能高息,21.42,-0.04,TWSE,2026-09-11
00945B,凱基美國非投等債,14.33,0.01,TWSE,2026-09-11
00946,群益科技高息成長,15.01,-0.15,TWSE,2026-09-11
00947,台新臺灣IC設計,36.98,-1.16,TWSE,2026-09-11
00949,復華日本龍頭,21.6,0.02,TWSE,2026-09-11
